2019-11-27 16:56:06,Sank. Rohit,Tie,2,2
2019-11-27 17:40:10,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 17:40:43,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 17:43:33,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 18:17:26,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 18:19:41,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 18:25:09,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 18:25:54,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 18:44:11,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 18:47:47,Sanket. Rohit,Sanket,3,2
2019-11-27 18:48:22,Asasc. zxcxc,Tie,0,2
2019-11-27 18:59:58,ZX. Xzxvdf,Tie,0,2
2019-11-27 19:02:39,asdz. Zc,asdz,1,2
2019-11-27 19:05:16,as. ZXZC,as,1,2
2019-11-27 19:08:46,sanket. Roj,Tie,0,2
2019-11-27 19:09:19,AKshay. Tanmay,Tie,0,2
2019-11-27 19:09:47,AKshay. Tanmay,AKshay,3,2
2019-11-27 19:10:43,KD. Sanket. Sujay,KD,6,3
2019-11-27 19:10:59,Sna. Roh. Mrun. kd,Sna,1,4
2019-11-27 19:11:38,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 20:41:56,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 20:54:02,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 20:54:47,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 21:07:21,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-27 21:09:45,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 00:08:08,Sanket. rOhit,Sanket,2,2
2019-11-28 00:09:13,Rohit. KD. Sanket,Rohit,4,3
2019-11-28 14:56:37,Rohit. Ayush,Rohit,3,2
2019-11-28 15:08:39,Ajay. Sanke. Rihuit,Ajay,5,3
2019-11-28 16:30:16,Sanket. rOHIT,Tie,2,2
2019-11-28 16:30:38,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 16:35:56,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 16:44:24,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 16:45:47,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 17:09:33,Sanket. Rohit,Sanket,2,2
2019-11-28 17:11:09,Sanket. Rohit,Sanket,2,2
2019-11-28 17:11:09,Sanket. Rohit,Sanket,2,2
2019-11-28 17:13:28,Sanket. Rohit,Sanket,2,2
2019-11-28 17:13:28,Sanket. Rohit,Sanket,2,2
2019-11-28 17:13:30,Sanket. Rohit,Sanket,2,2
2019-11-28 17:14:19,Sanket. Rohit,Sanket,2,2
2019-11-28 17:14:19,Sanket. Rohit,Sanket,2,2
2019-11-28 17:14:21,Sanket. Rohit,Sanket,2,2
2019-11-28 17:14:23,Sanket. Rohit,Sanket,2,2
2019-11-28 17:15:13,Sanket. Rohit,Sanket,2,2
2019-11-28 17:15:13,Sanket. Rohit,Sanket,2,2
2019-11-28 17:15:15,Sanket. Rohit,Sanket,2,2
2019-11-28 17:15:17,Sanket. Rohit,Sanket,2,2
2019-11-28 17:15:17,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 17:16:12,Sanket. Rohit,Sanket,2,2
2019-11-28 17:16:12,Sanket. Rohit,Sanket,2,2
2019-11-28 17:16:12,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 17:19:20,Sanket. Rohit,Sanket,2,2
2019-11-28 17:19:20,Sanket. Rohit,Sanket,2,2
2019-11-28 17:19:20,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 18:24:37,Rohit. Akshay. Sanket,Rohit,6,3
2019-11-28 18:25:07,tyest. test2,tyest,3,2
2019-11-28 19:15:22,Sanket. Rohit,Sanket,2,2
2019-11-28 19:15:22,Sanket. Rohit,Sanket,2,2
2019-11-28 19:15:22,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 19:15:51,Sanket. Rohit,Sanket,2,2
2019-11-28 19:15:51,Sanket. Rohit,Sanket,2,2
2019-11-28 19:15:51,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 19:16:33,Sanket. Rohit,Sanket,2,2
2019-11-28 19:16:33,Sanket. Rohit,Sanket,2,2
2019-11-28 19:16:33,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 19:17:39,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 19:22:01,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 19:30:36,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 19:51:54,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-28 20:00:49,Sanket. Rohit. Apurva,Sanket,3,3
2019-11-29 02:43:43,Sanket. Rohit,Sanket,2,2
2019-11-29 02:44:03,Sanket. Rohit,Sanket,2,2
2019-11-29 02:44:03,Sanket. Rohit. Apurva,Sanket,3,3
2020-02-23 19:59:05,Sanket. Rohit. Apurva,Sanket,3,3
